shard,id,name,verdict,score,auto_lock,events,coverage_h,span_h,gaps_gt_2h,empty_desc,title_ar_pct,title_latin_pct,desc_ar_pct,feed_country,issues,warnings,preview_1,preview_2
mena-other,RFMTV.fr@SD,RFM TV,REVIEW,92,0,42,42.0,42.0,0,0,100.0,0.0,100.0,,,LOW_TITLE_DIVERSITY=10%,ذا بيست وايك اب,ذا بيست وايك اب
mena-other,Riyadh Season.sa,Riyadh Season.sa,REVIEW,84,0,47,47.0,47.0,0,0,100.0,0.0,100.0,sa,,REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=2%,موسم الرياض,موسم الرياض
mena-other,Rojava.TV.HD.ae,Rojava TV HD,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Ronahε.TV.ae,Ronahε TV,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Roya.sa,Roya.sa,REVIEW,84,0,47,47.0,47.0,0,0,100.0,0.0,100.0,sa,,REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=2%,رؤيا,رؤيا
mena-other,RT Documentary.sa,RT Documentary.sa,REVIEW,92,0,183,45.72,45.72,0,0,100.0,0.0,100.0,sa,,LOW_TITLE_DIVERSITY=8%,دايلي بريد,دايلي بريد
mena-other,RT News.sa,RT News.sa,REVIEW,92,0,92,46.0,46.0,0,0,100.0,0.0,100.0,sa,,LOW_TITLE_DIVERSITY=9%,كروس توك,هيدلاين نيوز
mena-other,RT.ru@SD,RT English,REVIEW,92,0,83,41.5,41.5,0,0,100.0,9.6,100.0,,,LOW_TITLE_DIVERSITY=8%,حوار مفتوح,أهم الأخبار
mena-other,RTArabic.ru@SD,RT Arabic,REVIEW,84,0,149,41.47,41.47,0,0,100.0,49.0,100.0,,,SHORT_LT_2M=13; LOW_TITLE_DIVERSITY=9%,RT Arabic,RT Arabic
mena-other,Sahar.Kurdi.ae,Sahar Kurdi,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Salam.HD.ae,Salam HD,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Samira.HD.ae,Samira HD,REVIEW,84,0,33,56.0,56.0,0,33,0.0,100.0,0.0,ae,,LONG_GT_6H=3; EMPTY_DESC=33(100%),Fatma,Morning Talks
mena-other,Saout.Alaqila.ae,Saout Alaqila,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Sat-7.Arabic.ae,Sat-7 Arabic,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Sat-7.Kids.ae,Sat-7 Kids,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Sawt.Al-alam.ae,Sawt Al-alam,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,SBN.ae,SBN,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,SERIES1 DIGITAL.qa,SERIES1 DIGITAL.qa,REVIEW,84,0,52,44.1,46.0,0,52,94.2,94.2,0.0,qa,,EMPTY_DESC=52(100%); LOW_TITLE_DIVERSITY=19%,دكستر S6 | E12 - هذه هي الطريقة التي ينتهي بها العالم,E9 | S1 فروم
mena-other,SERIES2 DIGITAL.qa,SERIES2 DIGITAL.qa,REVIEW,92,0,46,44.0,46.0,0,46,95.7,67.4,0.0,qa,,EMPTY_DESC=46(100%),E23 | S1 ما اختلفنا,E2 | S1 القاتل الذي أحبني
mena-other,Shehab.TV.HD.ae,Shehab TV HD,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,SmartZone.sa,SmartZone.sa,REVIEW,84,0,47,47.0,47.0,0,0,0.0,100.0,100.0,sa,,REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=2%,SmartZone,SmartZone
mena-other,Sout.AL.Arab.ae,Sout AL Arab,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Space Toon.sa,Space Toon.sa,PASS,100,1,100,46.0,46.0,0,0,100.0,0.0,100.0,sa,,,رسوم متحركة,فيجيساورز
mena-other,Sport 24.sa,Sport 24.sa,PASS,100,1,47,47.0,47.0,0,0,100.0,0.0,100.0,sa,,,همس القصيد:الحلقة 16,ملفّات:الحلقة 18
mena-other,Sports.First.ae,Sports First,REVIEW,92,0,215,46.43,48.12,0,215,0.0,100.0,0.0,ae,,EMPTY_DESC=215(100%),International GT Open 2023 Rd 8 Barcelona - Race 2 - PART 7,International GT Open 2023 Rd 8 Barcelona - Race 2 - PART 8
mena-other,Star Action.sa,Star Action.sa,PASS,100,1,28,47.58,47.58,0,0,100.0,3.6,100.0,sa,,,إكوز أوف وور,بيرييرز باونتي
mena-other,Star Movies HD.sa,Star Movies HD.sa,PASS,100,1,27,48.17,48.17,0,0,100.0,0.0,100.0,sa,,,ايه باغز لايف,ويتينغ فور ذا باربيريانز
mena-other,Star World HD.sa,Star World HD.sa,PASS,100,1,53,47.0,47.0,0,0,100.0,0.0,100.0,sa,,,طاهي المستوى التالي (يو.إس.ايه).:كيري إن هيري,أفضل طباخ في أستراليا:بريشر تيست: بلين بيرتونتشيلوز ...
mena-other,stc tv cinema.sa,stc tv cinema.sa,PASS,100,1,27,46.42,46.42,0,0,100.0,0.0,100.0,sa,,,برين أون فاير,جريمة الإيموبيليا
mena-other,stc tv drama.sa,stc tv drama.sa,PASS,100,1,62,46.5,46.5,0,0,100.0,0.0,100.0,sa,,,سقف الوالد:الحلقة 1,اليتيم:الحلقة 11
mena-other,stc tv family.sa,stc tv family.sa,PASS,100,1,76,46.0,46.0,0,0,100.0,0.0,100.0,sa,,,ذا ليتل غوست,عيال الحالة:أزمة شارع الثلاثين 2
mena-other,stc tv sports 1 HD.sa,stc tv sports 1 HD.sa,PASS,100,1,28,47.17,47.17,0,0,75.0,25.0,100.0,sa,,,فروسينوني × فينيزيا 2026/27,بارما × مونزا 2026/27
mena-other,stc tv sports HD.sa,stc tv sports HD.sa,PASS,100,1,29,46.5,46.5,0,0,75.9,24.1,100.0,sa,,,فينيزيا × ليتشي 2026/27,نابولي × بولونيا 2026/27
mena-other,STV1 HD.sa,STV1 HD.sa,REVIEW,92,0,39,26.92,26.92,0,39,100.0,0.0,0.0,sa,,EMPTY_DESC=39(100%),صيف ديرتنا,صباح السعودية
mena-other,Stêrk.TV.HD.ae,Stêrk TV HD,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Sukariya.Cinema.ae,Sukariya Cinema,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Sukariya.Classic.ae,Sukariya Classic,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Sukariya.Hekayat.ae,Sukariya Hekayat,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Sukariya.Zaman.ae,Sukariya Zaman,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Taha.ae,Taha,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,TCM.sa,TCM.sa,PASS,100,1,26,48.33,48.33,0,0,100.0,0.0,100.0,sa,,,داون ويذ لوڤ,لاڤ & آذر دراغز
mena-other,Teba.8.ae,Teba 8,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,TeN TV.eg,TeN TV.eg,REVIEW,92,0,45,48.0,48.0,0,45,68.9,31.1,0.0,eg,,EMPTY_DESC=45(100%),برنامج,Bel Waraqa wel Qalam
mena-other,TFC HD.sa,TFC HD.sa,REVIEW,92,0,21,19.98,19.98,0,21,0.0,100.0,0.0,sa,,EMPTY_DESC=21(100%),It's Showtime,RADYO PATROL BALITA
mena-other,Thaqalayn.TV.ae,Thaqalayn TV,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
