shard,id,name,verdict,score,auto_lock,events,coverage_h,span_h,gaps_gt_2h,empty_desc,title_ar_pct,title_latin_pct,desc_ar_pct,feed_country,issues,warnings,preview_1,preview_2
mena-other,History2MiddleEast.us@SD,H2 HD,PASS,100,1,51,38.25,38.25,0,0,100.0,0.0,100.0,,,,هانتينغ هتلر,ذا يونيفيرس
mena-other,HistoryMiddleEast.us@SD,History HD,PASS,100,1,58,38.25,38.25,0,0,100.0,0.0,100.0,,,,ذا لوست يو-بوتس أوف وورلد وور 2,ستوريج وورز
mena-other,i24NEWSArabic.il@SD,I24NEWS عربى,REVIEW,92,0,36,33.0,34.0,0,36,100.0,13.9,0.0,,,EMPTY_DESC=36(100%),الأخبار,الأخبار
mena-other,iFILM TV.eg,iFILM TV.eg,REVIEW,92,0,10,10.0,10.0,0,10,0.0,100.0,0.0,eg,,EMPTY_DESC=10(100%),Kind Soul,Lady of the Mansion
mena-other,iFilmArabic.ir@SD,آي فيلم,REVIEW,84,0,32,32.0,38.0,1,0,100.0,25.0,100.0,,,LOW_TITLE_DIVERSITY=19%; GAPS_GT_2H=1/TOTAL=6.0h,الروح الطيبة,سيدة العمارة
mena-other,InvestigationDiscovery.uk@SD,Discovery IDX HD,PASS,100,1,38,38.0,38.0,0,0,100.0,5.3,100.0,,,,شادو أوف داوت,شادو أوف داوت
mena-other,Iraqia TV.eg,Iraqia TV.eg,REVIEW,92,0,55,44.5,44.5,0,55,69.1,30.9,0.0,eg,,EMPTY_DESC=55(100%),برنامج وقفة مرورية,برنامج كناية
mena-other,Jeem-HD-1-01.qa,Jeem-HD-1-01.qa,REVIEW,92,0,41,40.97,43.0,0,41,0.0,100.0,0.0,qa,,EMPTY_DESC=41(100%),Ben 10,Tom and Jerry
mena-other,Kapatid TV5 International.sa,Kapatid TV5 International.sa,REVIEW,92,0,6,14.5,14.5,0,6,100.0,0.0,0.0,sa,,EMPTY_DESC=6(100%),بي بي آي,فرونتلاين بيلبيناس
mena-other,KBS.World.ae,KBS World,REVIEW,92,0,63,48.83,48.83,0,63,0.0,100.0,0.0,ae,,EMPTY_DESC=63(100%),Music Bank,Mad Dog
mena-other,KidZone Max.sa,KidZone Max.sa,REVIEW,84,0,43,43.0,43.0,0,0,0.0,100.0,100.0,sa,,REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=2%,KidZone Max,KidZone Max
mena-other,LDC.eg,LDC.eg,REVIEW,92,0,34,34.5,34.5,0,34,47.1,67.6,0.0,eg,,EMPTY_DESC=34(100%),برنامج صباحي morning talk,فيديو كليبات
mena-other,LTV.sa,LTV.sa,REVIEW,84,0,43,43.0,43.0,0,0,100.0,0.0,100.0,sa,,REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=2%,إل تي في,إل تي في
mena-other,Makan33.il@SD,مكان,REVIEW,92,0,49,36.25,36.25,0,16,100.0,4.1,100.0,,,EMPTY_DESC=16(33%),במטבח של נוף - 3. קובה (ש.ח.),בואו לאכול איתי 2 (ערבית) - 2. שינו (ש.ח.)
mena-other,Masah.eg,Masah.eg,REVIEW,92,0,51,45.0,45.0,0,51,92.2,7.8,0.0,eg,,EMPTY_DESC=51(100%),برنامج,برنامج
mena-other,Maspero Zaman.eg,Maspero Zaman.eg,REVIEW,92,0,45,34.0,34.0,0,45,33.3,66.7,0.0,eg,,EMPTY_DESC=45(100%),La 'iilah 'iilaa allah 3,خماسيات نجيب محفوظ
mena-other,MCMTop.fr@SD,MCM TOP,REVIEW,76,0,38,38.0,38.0,0,37,100.0,0.0,100.0,,,EMPTY_DESC=37(97%); REPEATED_TITLE=79%; LOW_TITLE_DIVERSITY=10%,توب ميكس,توب ميكس
mena-other,Mix Bel Araby.eg,Mix Bel Araby.eg,REVIEW,92,0,43,45.0,45.0,0,43,14.0,86.0,0.0,eg,,EMPTY_DESC=43(100%),A Miracle 2,برنامج في رحاب الكتاب والسنة
mena-other,Mix ONE.eg,Mix ONE.eg,REVIEW,92,0,41,45.0,45.0,0,41,19.5,80.5,0.0,eg,,EMPTY_DESC=41(100%),برنامج مطبخ ميكس,Wounded Birds
mena-other,Mix.ae,Mix,REVIEW,92,0,23,51.25,51.25,0,23,0.0,100.0,0.0,ae,,EMPTY_DESC=23(100%),Avengers: Infinity War,The Devil's Own
mena-other,Mix.bel.Araby.TV.ae,Mix bel Araby TV,REVIEW,92,0,25,50.0,50.0,0,25,0.0,100.0,0.0,ae,,EMPTY_DESC=25(100%),"Desire, Envy, And Revenge",Mafia
mena-other,MoonbugKids.uk@SD,Moonbug Kids,REVIEW,92,0,69,39.63,39.63,0,0,100.0,0.0,100.0,,,LOW_TITLE_DIVERSITY=19%,ليتل أنجل,ليتل أنجل
mena-other,MotorvisionPlus.de@SD,MOTORVISION,PASS,100,1,71,37.92,37.92,0,0,100.0,0.0,100.0,,,,السيارات الخارقة,بيرفكت رايد
mena-other,MOVIES1 PREMIERE DIGITAL.qa,MOVIES1 PREMIERE DIGITAL.qa,REVIEW,92,0,21,40.78,43.25,0,21,100.0,0.0,0.0,qa,,EMPTY_DESC=21(100%),قوة الطبيعة: الجفاف,البلوغ
mena-other,MOVIES2 ACTION DIGITAL.qa,MOVIES2 ACTION DIGITAL.qa,REVIEW,92,0,23,42.53,43.0,0,23,100.0,0.0,0.0,qa,,EMPTY_DESC=23(100%),رجال بملابس السوداء: دوليين,ظلال الشك
mena-other,MOVIES3 DRAMA DIGITAL.qa,MOVIES3 DRAMA DIGITAL.qa,REVIEW,92,0,21,39.7,42.73,0,21,90.5,9.5,0.0,qa,,EMPTY_DESC=21(100%),عائلة آدامز,فورست جامب
mena-other,MOVIES4 FAMILY DIGITAL.qa,MOVIES4 FAMILY DIGITAL.qa,REVIEW,92,0,25,39.78,42.78,0,25,100.0,0.0,0.0,qa,,EMPTY_DESC=25(100%),هل إنتهينا بعد؟,دوريات المخلاب: طائرة الإنقاذ
mena-other,MTV.eg,MTV.eg,REVIEW,92,0,56,44.42,44.42,0,56,67.9,35.7,0.0,eg,,EMPTY_DESC=56(100%),برنامج,أخبار
mena-other,MTV80s.uk@SD,MTV80s,REVIEW,92,0,14,10.92,10.92,0,14,100.0,0.0,0.0,,,EMPTY_DESC=14(100%),ذي إنكريدبول دكتور بول (موسم 20، حلقة16),ذي إنكريدبول دكتور بول (موسم 20، حلقة17)
mena-other,Myx.sa,Myx.sa,REVIEW,92,0,13,13.0,13.0,0,13,100.0,0.0,0.0,sa,,EMPTY_DESC=13(100%),أم واي أكس,ذا أو بي أم آور
mena-other,Nat geo hd.qa,Nat geo hd.qa,REVIEW,84,0,38,35.97,42.0,2,38,100.0,0.0,0.0,qa,,EMPTY_DESC=38(100%); GAPS_GT_2H=2/TOTAL=6.0h,الإذاعة العربية,معركة السكري في أستراليا
mena-other,Nat. Geo. AD.sa,Nat. Geo. AD.sa,PASS,100,1,56,42.25,42.25,0,0,100.0,0.0,100.0,sa,,,الجزيرة المتمردة,بول شارك فيرسز هامرهيد
mena-other,Nat. Geo. Wild HD.sa,Nat. Geo. Wild HD.sa,PASS,100,1,59,42.75,42.75,0,0,100.0,0.0,100.0,sa,,,ذي إنكريدابل د. بول:نيس أوف آور لايفز,ذي إنكريدابل د. بول:فلوك أراوند ذا كلوك
mena-other,Nat. Geographic.sa,Nat. Geographic.sa,PASS,100,1,56,42.0,42.0,0,0,100.0,0.0,100.0,sa,,,آلات بحرية عملاقة:جسور عائمة,أساليب البقاء:جانغل أمبوش
mena-other,NationalGeographicMiddleEast.uk@SD,ناشيونال جيوجرافيك,REVIEW,92,0,9,7.0,7.0,0,8,100.0,11.1,100.0,,,EMPTY_DESC=8(89%),Science of Stupid,برنامج لغز اختفاء المفقودين
mena-other,Network Arabic.eg,Network Arabic.eg,REVIEW,92,0,45,45.0,45.0,0,45,0.0,100.0,0.0,eg,,EMPTY_DESC=45(100%),Teen Titans Go! S1,Regular Show S1
mena-other,NEWS DIGITAL.qa,NEWS DIGITAL.qa,REVIEW,92,0,73,39.0,41.0,0,73,0.0,100.0,0.0,qa,,EMPTY_DESC=73(100%),Al Hassad,News Bulletin
mena-other,NHK.World.Japan.ae,NHK World Japan,REVIEW,92,0,133,48.5,48.5,0,133,0.0,100.0,0.0,ae,,EMPTY_DESC=133(100%),NHK Newsline,Journeys in Japan
mena-other,One Drama.eg,One Drama.eg,REVIEW,92,0,11,11.0,11.0,0,11,0.0,100.0,0.0,eg,,EMPTY_DESC=11(100%),Uzak Sehir,Forbidden Love
mena-other,One TV.sa,One TV.sa,REVIEW,92,0,35,41.5,41.5,0,5,100.0,100.0,100.0,sa,,EMPTY_DESC=5(14%),Dubai Eye : 2026: Ep 177,Desperate Mrs.Seonju: Ep 109
mena-other,Padel TV.sa,Padel TV.sa,REVIEW,76,0,32,32.0,32.0,0,32,0.0,100.0,0.0,sa,,EMPTY_DESC=32(100%); REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=3%,Padel Time TV,Padel Time TV
mena-other,Panorama.Food.ae,Panorama Food,REVIEW,84,0,41,49.25,49.25,0,41,0.0,100.0,0.0,ae,,EMPTY_DESC=41(100%); LOW_TITLE_DIVERSITY=20%,The Restaurant,TV Program
mena-other,Press.TV.HD.ae,Press TV HD,REVIEW,92,0,107,49.0,49.0,0,107,0.0,100.0,0.0,ae,,EMPTY_DESC=107(100%); DUPLICATE_TIMELINE_GROUP=2; DUPLICATE_TIMELINE_UNRELATED,Culture Crunch,Arirang News
mena-other,RFMTV.fr@SD,RFM TV,REVIEW,84,0,38,38.0,38.0,0,0,100.0,0.0,100.0,,,REPEATED_TITLE=71%; LOW_TITLE_DIVERSITY=8%,ار اف ام هيتس,ار اف ام هيتس
mena-other,Riyadh Season.sa,Riyadh Season.sa,REVIEW,84,0,43,43.0,43.0,0,0,100.0,0.0,100.0,sa,,REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=2%,موسم الرياض,موسم الرياض
mena-other,Roya.sa,Roya.sa,REVIEW,84,0,43,43.0,43.0,0,0,100.0,0.0,100.0,sa,,REPEATED_TITLE=100%; LOW_TITLE_DIVERSITY=2%,رؤيا,رؤيا
mena-other,RT Documentary.sa,RT Documentary.sa,REVIEW,92,0,168,42.02,42.02,0,0,100.0,0.0,100.0,sa,,LOW_TITLE_DIVERSITY=8%,وقوع الكوارث,أميريكان ستوري
mena-other,RT News.sa,RT News.sa,REVIEW,92,0,85,42.5,42.5,0,0,100.0,0.0,100.0,sa,,LOW_TITLE_DIVERSITY=8%,هيدلاين نيوز,كروس توك
mena-other,RT.ru@SD,RT English,REVIEW,92,0,76,38.0,38.0,0,0,100.0,9.2,100.0,,,LOW_TITLE_DIVERSITY=9%,أهم الأخبار,حوار مفتوح
