source,source_id,xmltv_id,channel_name,relation,canonical_id,operational,verdict,events,coverage_h,score,auto_lock,shard,issues,warnings,programme_1,programme_2,override_site,priority
elcinema.com,1304,NessmaElJadida.tn@SD,نسمة,DIRECT,NessmaElJadida.tn@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
osn.com,5663,NickelodeonArabia.ae@SD,Nickelodeon HD,DIRECT,NickelodeonArabia.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,5670,NickJrArabia.ae@SD,Nick Jr HD,DIRECT,NickJrArabia.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,5671,NicktoonsArabia.ae@SD,NickToons HD,DIRECT,NicktoonsArabia.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
elcinema.com,1156,NileDrama.eg@SD,نايل دراما,DIRECT,NileDrama.eg@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
ayn.om,159/قناة-عمان-الرياضية,OmanSportsTV.om,قناة عمان الرياضية,DIRECT,OmanSportsTV.om,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,15
ayn.om,158/قناة-عمان-العامة,OmanTV.om,قناة عمان العامة,DIRECT,OmanTV.om,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,15
osn.com,9983,OmanTV.om@SD,Oman TV,DIRECT,OmanTV.om@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
ayn.om,160/قناة-عمان-الثقافية,OmanTVCultural.om,قناة عمان الثقافية,DIRECT,OmanTVCultural.om,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,15
ayn.om,161/قناة-عمان-مباشر,OmanTVMubashir.om,قناة عمان مباشر,DIRECT,OmanTVMubashir.om,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,15
elcinema.com,1134,OnDrama.eg@SD,أون دراما,DIRECT,OnDrama.eg@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
elcinema.com,1203,OnE.eg@SD,أون إي,DIRECT,OnE.eg@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,100
osn.com,4508,OSNComedy.ae@SD,OSNtv Comedy,DIRECT,OSNComedy.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,4506,OSNKids.ae@SD,OSNtv Kids,DIRECT,OSNKids.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,4501,OSNMezze.ae@SD,OSNtv Mezze,DIRECT,OSNMezze.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,302,OSNMoviesAction.ae@SD,OSNtv Movies Action,DIRECT,OSNMoviesAction.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,4503,OSNMoviesHollywood.ae@SD,OSNtv Movies Hollywood,DIRECT,OSNMoviesHollywood.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,301,OSNMoviesPremiere.ae@SD,OSNtv Movies Premiere,DIRECT,OSNMoviesPremiere.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,304,OSNShowcase.ae@SD,OSNtv Showcase,DIRECT,OSNShowcase.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,307,OSNtv Crime.sa,OSNtv Crime,DIRECT,OSNtv Crime.sa,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,314,OSNtv Documentary.sa,OSNtv Documentary,DIRECT,OSNtv Documentary.sa,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,221,OSNtv iQIYI.sa,OSNtv iQIYI,DIRECT,OSNtv iQIYI.sa,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,5669,OSNtv Movies Comedy.sa,OSNtv Movies Comedy,DIRECT,OSNtv Movies Comedy.sa,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,5666,OSNtv Movies Family.sa,OSNtv Movies Family,DIRECT,OSNtv Movies Family.sa,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,225,OSNtv Movies Horror.sa,OSNtv Movies Horror,DIRECT,OSNtv Movies Horror.sa,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,4502,OSNtv Now.sa,OSNtv Now,DIRECT,OSNtv Now.sa,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,204,OSNtv One.sa,OSNtv One,DIRECT,OSNtv One.sa,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,5672,OSNtv Pop Up.sa,OSNtv Pop Up,DIRECT,OSNtv Pop Up.sa,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,208,OSNtv Showcase Classics.sa,OSNtv Showcase Classics,DIRECT,OSNtv Showcase Classics.sa,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,4509,OSNYahala.ae@SD,OSNtv Yahala,DIRECT,OSNYahala.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,306,OSNYahalaAflam.ae@SD,OSNtv Yahala Aflam,DIRECT,OSNYahalaAflam.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,309,OSNYahalaBilArabi.ae@SD,OSNtv Yahala Bil Arabi,DIRECT,OSNYahalaBilArabi.ae@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
shahid.mbc.net,49923172117967,RabehSaqer.sa@HD,رابح صقر,DIRECT,RabehSaqer.sa@HD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,10
osn.com,222,RFMTV.fr@SD,RFM TV,DIRECT,RFMTV.fr@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
rotana.net,439,RotanaCinemaEgypt.eg@SD,روتانا سينما مصر,DIRECT,RotanaCinemaEgypt.eg@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,11
rotana.net,431,RotanaCinemaKSA.sa@SD,روتانا سينما السعودية,DIRECT,RotanaCinemaKSA.sa@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,11
rotana.net,438,RotanaClassic.sa@SD,روتانا كلاسيك,DIRECT,RotanaClassic.sa@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,11
rotana.net,437,RotanaComedy.sa@SD,روتانا كوميدي,DIRECT,RotanaComedy.sa@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,11
rotana.net,436,RotanaDrama.sa@SD,روتانا دراما,DIRECT,RotanaDrama.sa@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,11
rotana.net,435,RotanaKhalijia.sa@SD,روتانا خليجية,DIRECT,RotanaKhalijia.sa@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,11
roya-tv.com,3,RoyaComedy.jo@SD,Roya Comedy,DIRECT,RoyaComedy.jo@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,12
roya-tv.com,14,RoyaKids.jo@SD,Roya Kids,DIRECT,RoyaKids.jo@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,12
roya-tv.com,4,RoyaKitchen.jo@SD,Roya Kitchen,DIRECT,RoyaKitchen.jo@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,12
roya-tv.com,21,RoyaNews.jo@SD,Roya News,DIRECT,RoyaNews.jo@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,12
roya-tv.com,1,RoyaTV.jo@SD,Roya TV,DIRECT,RoyaTV.jo@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,12
osn.com,7114,RT.ru@SD,RT English,DIRECT,RT.ru@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
osn.com,9396,RTArabic.ru@SD,RT Arabic,DIRECT,RTArabic.ru@SD,NO,NOT_PUBLISHED,0,,,0,,NOT_IN_FINAL_AUDIT,,,,,25
