xmltv_id,channel_name,source,candidate_count,winner_source,receiver_canonical_id,now_status,now_title,now_desc,epg_snapshot_utc
beIN.Sports.XTRA8.qa,beINSPORTSXTRA8,bein.com,2,bein.com,beIN.Sports.XTRA8.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.XTRA8.qa,beIN SPORTS XTRA 8,beinsports.com,2,bein.com,beIN.Sports.XTRA8.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.XTRA9.qa,beINSPORTSXTRA9,bein.com,2,bein.com,beIN.Sports.XTRA9.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beIN.Sports.XTRA9.qa,beIN SPORTS XTRA 9,beinsports.com,2,bein.com,beIN.Sports.XTRA9.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beIN4K.qa@SD,beIN 4K,beinsports.com,1,beinsports.com,beIN.4K.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINDrama1.qa@SD,beINDRAMA,bein.com,2,elcinema.com,beIN.Drama.qa,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINDrama1.qa@SD,بي إن دراما,elcinema.com,2,elcinema.com,beIN.Drama.qa,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINGourmet.qa@SD,beINGOURMET,bein.com,1,bein.com,beIN.Gourmet.qa,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
beINMovies1Premiere.qa@SD,beINMOVIES1,bein.com,2,elcinema.com,beIN.Movies.Premiere.qa,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINMovies1Premiere.qa@SD,بي إن موفيز بريمير,elcinema.com,2,elcinema.com,beIN.Movies.Premiere.qa,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINMovies2Action.qa@SD,beINMOVIES2,bein.com,2,elcinema.com,beIN.Movies.Action.qa,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINMovies2Action.qa@SD,بي إن موفيز أكشن,elcinema.com,2,elcinema.com,beIN.Movies.Action.qa,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINMovies3Drama.qa@SD,beINMOVIES3,bein.com,2,elcinema.com,beIN.Movies.Drama.qa,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINMovies3Drama.qa@SD,بي إن موفيز دراما,elcinema.com,2,elcinema.com,beIN.Movies.Drama.qa,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINMovies4Family.qa@SD,beINMOVIES4,bein.com,1,bein.com,beIN.Movies.Family.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSeries1.qa@SD,beINSERIES1,bein.com,2,elcinema.com,beIN.Series.1.qa,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSeries1.qa@SD,بي إن سيريس,elcinema.com,2,elcinema.com,beIN.Series.1.qa,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSeries2.qa@SD,beINSERIES2,bein.com,2,elcinema.com,beIN.Series.2.qa,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSeries2.qa@SD,بي إن سيريس إتش...,elcinema.com,2,elcinema.com,beIN.Series.2.qa,STALE_SOURCE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSports1.qa@MENA,beINSPORTS1,bein.com,2,bein.com,beIN.Sports.1.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSports1.qa@MENA,beIN SPORTS 1,beinsports.com,2,bein.com,beIN.Sports.1.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSports2.qa@MENA,beINSPORTS2,bein.com,1,bein.com,beIN.Sports.2.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
